oocyte #1,oocyte #3,oocyte #4,pronuclear #3,pronuclear #4,pronuclear #2,zygote #1,zygote #2,2 cell #1,2 cell #5,2 cell #6,4 cell #1,4 cell #2,4 cell #3,4 cell #4,8 cell #3a,8 cell #6a,8 cell #7a,8 cell #1b,8 cell #2b,8 cell #3b,8 cell #4b,8 cell #5b,8 cell #3c,8 cell #5c,8 cell *,morula #1,morula #4,morula #5,
HEATR6,0.03,0,0,0.76,0.12,0,0.18,0,0,0,0,0.23,0,0.1,1.09,0,0,0,0.03,0,0,0,0,0,2.45,0,1.11,1.31,0.74
HELZ,11.74,12.06,18.65,14.9,19.12,21.58,19.34,20.52,29.65,26.04,12.78,26.16,16.63,26.27,21.16,1.56,1.96,5.96,1.46,4,3.82,4.72,4.91,2.89,1.16,5.82,1.34,1.11,2.28
HES7,0.03,0,0,0,0,0,0,0,0,0,0,0,1.55,0.1,0,0.21,0,0,0.03,0.39,1.4,0,0,0,0.03,0,0,0,0
HEXDC,0.03,0.11,0,0.22,0.04,0.22,0.06,0.06,0,0,0,0.09,1.44,0.1,0,0,4.63,0,0.03,0,0,0.9,0,0.79,0.03,0,1.06,0.05,0.08
HEXIM1,15.68,11.73,15.07,14.56,8.91,6.89,2.56,3.48,3.93,5.67,2.26,5.58,11.87,14.74,3.63,20.36,13.58,23.14,10.33,18.12,22.61,19.58,16.59,58.25,24.03,25.15,0.62,1.9,1.58
HEXIM2,0.03,3.7,0,4.01,7.65,5.58,8.4,6.13,3.76,0.7,2.32,16.1,36.74,5.68,14.05,0,12.21,11.7,22.65,1.64,1.04,1.1,27.47,2.13,15.47,10.69,43.55,14.42,10.37
HGS,3.3,2.95,0,8.3,9.38,6.44,3.14,3.09,6.59,0.36,11.27,11.66,17.28,6.85,3.2,63.23,24.22,45.49,36.46,8.3,29.46,1.65,11.93,13.44,11.77,40.11,19.58,4.38,0.39
HIC1,0.03,0,0,0.03,0,0.04,0,0,0.18,0,0,0,0,0.1,0,0,0.46,0,0.03,3.25,0.34,1.03,2.22,0,17.67,5.76,0.07,0.26,0
HIGD1B,0.03,0,0,0.06,0.09,0.07,0,0,0,0,0,0.74,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0.07,0,0.97
HLF,0.03,0.47,1.56,0,0.12,0,0.38,0.08,0.27,1.27,0.48,0.08,0,0.1,0,0,0.4,0,0.03,0,0,0,0,0,0.03,0,0,0,0
HN1,9.45,7.39,15.22,6.31,12.32,6.32,5.67,13.52,8.08,16.58,6.64,11.52,3.36,4.05,1.06,149.99,93.22,130.1,207.43,271.46,299.51,119.32,93.12,440.05,184.76,155.51,397.05,112.32,94.19
HNF1B,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0.03,0,0,0,0,0,0.03,0,0.01,0.64,1.21
HOXB13,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0.1,1.88,0,6.56,0.92,11.33,4.66,1.37,21.44,3.26,2.81,0.03,0.43,0.03,0,0.18
HOXB2,0.03,0,0,0,0.04,0,0,0,0.26,0,0,0,0,0.1,0,0,3.13,0.37,3.71,1.57,56.81,11.34,0.45,0.94,4.11,73.38,0,0,0.18
HOXB3,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0.79,0,0,0.24
HOXB4,0.03,0,0,0,0.06,0,0,0,0,0,0,0,0,0.1,0,0.1,0.07,1.9,3.29,5.8,3.01,8.1,0,0,0.03,0.18,1.17,0,0.53
HOXB5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.77,0,2.28,0,0,0,0,0,0.03,0,0.11,0.14,0
HOXB6,0.03,0,0,0,0,0,0,0,0,0,0,0,0.37,0.1,0.45,2.45,23.33,10.53,37.49,4.67,1.79,28.31,17.86,5.03,3.3,27.59,0.01,0,0
HOXB7,0.03,0.33,0,0.42,11.73,0.52,0.36,0,0.07,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0.59,1.72,0.33,0.27
HOXB8,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.32,1.43,0,0.03,0,0,0,7.13,0,0.03,0,0.53,0.42,0
HOXB9,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.54,2.08,0.24,0.03,16.5,21.33,1.2,18.9,0,0.03,4.47,0.45,0,0
HRNBP3,3.03,0.58,1.7,0.89,4.87,2.39,1.33,1.13,0.87,0.38,0.31,0.86,0.57,0.1,2.4,0,1.24,0.17,1.72,5.04,1.35,0,0.71,0,0.03,0.46,0,0,0
HSD17B1,0.03,0,0,0,0.06,0.54,0,0,0,0,0,0,0,0.1,0,0.26,0.18,0,0.03,0,0,0,0.59,0,0.03,0.35,1.38,0.29,1.01
HSF5,17.91,4.6,13.32,15.79,8.42,7.96,19.96,11.13,20.8,7.08,10.4,6.64,5.98,16.08,1.63,0.3,2.3,2.56,0.03,1.95,0,0,1.97,0,1.23,2.62,0.26,1.49,0
HSPB9,0.03,0,0.85,0,0,1.89,0,0.41,0,0,0,0.23,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
ICAM2,0.03,2.09,10.58,0.14,0.03,0.18,0,2.99,0,0,0,0,0,0.1,0,0,0,0,0.03,0.52,5.8,0,0,0,0.03,0,0,0.1,0
ICT1,0.03,16.93,0.71,4.55,3.14,2.54,4.88,1.64,2.05,1.42,0.51,0.27,13.58,94.68,0.44,18.28,26.38,31.87,28.31,49.88,67.39,31.04,63.16,29.85,7.4,2.36,96.54,68.02,73.38
IFI35,0.03,0,0,0.01,0.06,0.03,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0.66,2.23,0.96,0,0.03,1.04,0,0,0
IFT20,45.14,33.24,7.09,15.11,21.27,8.8,23.88,49.71,8.32,28.19,19.45,6.32,0,9.32,20.23,49.96,108.43,77.86,8.07,16.02,32.02,30.11,108.64,99.83,2.99,48.75,69.54,25.56,59.87
IGF2BP1,0.03,0,0,0.01,0,0.01,0.01,0,0.04,0.18,0,0,0,0.1,0,6.04,3.42,10.31,2,10.9,5.31,1.94,0.75,21.05,6.38,0.29,30.41,9.15,4.74
INCA1,1.61,2.2,7.8,1.62,4.79,3.13,3.55,4.56,4.82,0.49,0.4,18.91,18.56,0.1,2.61,0,2.76,0.11,2.52,0,0,1.04,0.45,0,2.2,4.97,0,1.44,0
