oocyte #1,oocyte #3,oocyte #4,pronuclear #3,pronuclear #4,pronuclear #2,zygote #1,zygote #2,2 cell #1,2 cell #5,2 cell #6,4 cell #1,4 cell #2,4 cell #3,4 cell #4,8 cell #3a,8 cell #6a,8 cell #7a,8 cell #1b,8 cell #2b,8 cell #3b,8 cell #4b,8 cell #5b,8 cell #3c,8 cell #5c,8 cell *,morula #1,morula #4,morula #5,
NACC2,0.03,0,0,0.09,0.41,0.12,1.17,0.09,0.06,1.26,0,0.34,0.71,0.1,0,0,0,0,0.03,0,0,1.04,0,0,0.03,0,0.15,0.13,0
NAIF1,3.1,2.45,3.38,18.01,17.81,17.67,7.71,4.35,17.07,0.95,9.62,29.83,1.95,7.7,13.57,8.16,11.81,18.97,27.21,9.74,12.92,21.22,2.96,18.25,17.96,14.16,1.46,0.83,0.1
NANS,0.03,0.72,0,0,0,0.08,0.24,0,0,0,0,5.72,0.59,22.17,0,90.96,90.42,149.12,44.16,92.56,107.06,200.58,217.3,191.57,48.81,67.44,30.29,4.33,18.54
NCBP1,21.19,8.31,17.04,6.88,7.23,6.73,13.16,15.11,12.84,18.34,7.2,7.46,42.49,48.55,17.87,7.41,5.47,10.76,7.98,2.74,11.37,5.49,3.53,1.02,9.3,19.54,8.88,17.24,16.54
NCS1,0.03,0,0,0,0.02,0.06,0.17,0.04,0.28,0.29,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0.03,0.44,0
NDOR1,0.03,0.54,0,0.53,0.18,0.51,0.43,0.19,0.51,0.72,0.82,1.15,2.53,0.1,0.25,1.75,0.39,3.32,0.03,0.22,0,0,4.84,0,0.03,0.33,4.57,0.97,1.19
NDUFA8,3.19,14.95,21.83,33.86,63.93,30.81,57.13,42.91,50.36,19.78,24.28,41.09,60.04,0.1,45.49,7.57,42.24,0,0.03,23.52,1.79,11.97,37.51,1.27,0.03,17.72,162.93,141.13,129.88
NDUFB6,181.53,84.59,92.32,28.54,8.76,14.02,12.98,47.96,18.26,62.4,68.6,92.23,50.06,155.82,32.75,97.46,86.87,95.9,112.32,48.63,70.19,115.2,37.68,186.78,124.82,23.62,120.51,203.1,242.8
NEK6,0.03,0,0,1.07,1.16,0.97,0.33,0.5,0.92,0.55,0.5,3.74,2.32,0.1,1.39,0,0.21,0,0.03,0,0.53,1.83,7.57,0,0.03,0.02,1.9,6.08,3.68
NELF,0.03,0,0,0.41,0.98,0.65,0.43,0.43,0.16,0.59,0.89,1.63,0,0.1,0,1.39,2.68,1.73,14.43,3.94,4.82,1.72,14.23,5.9,6.81,5.9,4.41,1.35,0.06
NFIB,0.03,0,0,0.05,0.05,0.75,0.06,0.06,0.06,1.83,0,1.61,0,2.66,0,0.85,0.44,0.52,0.03,0,0.45,2.47,1.84,0,0.03,0,0,0,0
NFIL3,0.03,3.15,0,2.8,1.58,0.05,3.37,0.3,1.33,1.98,0,8.51,6.2,0.1,4.69,41.34,0,7.47,4.48,2.18,18.04,1.81,0.48,1.16,14.02,90.63,14.23,41.15,12.92
NFX1,0.03,0.95,0.99,0.61,0.5,1,0.98,3.69,0.72,3.47,4.92,2.25,0.3,2.76,0.29,8.15,4.21,12.01,0.03,11.26,7.51,7.33,3.57,5.95,1.95,1.91,5.7,3.8,3.36
NINJ1,0.03,0,0,0,0,0,0,0,0,0,0.9,0,0,0.1,0,2.91,2.45,0,90.96,0.56,15.33,37.39,36.23,1.05,0.03,0.07,25.11,2.22,0.44
NIPSNAP3A,42.91,32.34,43.68,39.26,28.45,81.49,20.44,38.38,9.2,22.87,0,6.16,6.38,0.1,0,0,0.44,4.52,0.03,0,0,0,0,0,0.03,15.61,12.87,19.99,21.16
NOL6,0.03,0.21,0,2.82,1.62,3.23,1.17,1.2,1.37,7.76,1.13,0.58,3.49,0.1,0.73,14.72,19.64,26.2,7.17,12.8,27.19,15.96,7.56,41.52,56.45,7.95,22.99,11.09,10.63
NOL8,2.93,0.26,2.23,43.97,21.62,17.22,27.37,12.46,34.82,33.32,10.37,51.91,20.15,4.31,11.86,15.6,25.03,25.13,6.64,36.16,25.74,15.56,6.85,38.64,19.15,7.97,8.29,26.93,15.1
NOTCH1,0.03,0,2.31,0,0.23,0,0.05,0.03,0,0,0,0,4.98,0.1,0,0.18,0.11,0,0.03,0.13,0,0,0,0,3.28,0.01,0.06,0.19,0.2
NPDC1,11.72,3.74,3.5,1.46,7.15,3.49,1.92,3.98,0.62,1.46,3.92,0.23,1.33,0.1,9.65,0,0,0.41,3.8,1.69,15.57,1.16,0,2.01,0.03,0.02,0,0.06,2.25
NPR2,0.03,0,0,0,0,0,0,0,0.34,1.63,0,0,0,0.1,0.93,0,0,0,0.03,0,0,0,1.34,0,0.03,0,0.09,0,0
NR4A3,0.03,0,0,0,0,0,0.14,0,0,0,0,0,0,0.1,0,0,0.11,0.09,1.14,0,0.26,0,0,0,0.03,1.17,0,0,0
NR5A1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,2.02,0,2.88,0.01,0,0,0
NR6A1,0.03,0.35,0.51,1.84,3.02,1.83,9.49,1.98,12.61,0.69,21.99,3.85,1.7,9.95,1.45,11.18,0.65,16.59,57.13,3.83,10.67,3.41,7.68,0,42.73,5.63,5.91,2.53,3.71
NRARP,0.03,0,0,0.06,0,0,0,0,0,0.23,0,0,0,0.1,1.13,0.34,0.08,0,2.81,0,0,0,0,0.51,0.03,0.27,0.03,0.32,0
NTNG2,0.03,0.35,0,0.67,1.92,2.49,1.75,0.03,0.2,0,0.48,0.46,0,0.1,0,0,0,0,0.03,0,0,0,0,0.96,2.21,0.03,0,0,0
NTRK2,3.39,1.02,0.77,0.49,0.46,0.22,1.26,0.53,0.36,0.82,0.89,0.72,0.76,9.92,3.02,0,0.08,0.09,1.66,0.13,0.29,3.49,0,0.36,0.96,0.71,0,0.12,0
NUDT2,44.88,34.09,30.27,11.15,16.29,9.73,5.04,11.78,10.15,3.06,5.07,12.21,0.89,0.1,32.7,25.98,29.99,46.85,233.87,60.44,69.71,58,90.29,16.15,12.45,35.33,47.84,24.38,29.44
NUP188,0.03,0.34,0.51,2.88,7.23,7.2,3.07,1.3,5.8,2.07,3.8,5.9,3.53,2.77,8.87,15.09,8.95,11.26,18.75,2.23,8.27,3.59,7.03,17.42,6.82,9.62,8.83,0.76,0.92
NUP214,0.03,0.24,0.93,3.58,5.7,4.41,5.59,2.62,11.79,3.98,10.38,4.4,3.77,0.1,2.42,1.73,3.31,8.44,28,1.91,4.12,3.73,2.44,0.55,1.37,3.15,4.34,0.48,2.09
NXNL2,9.3,0,0.54,0.03,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,1.58,0.25,0
ODF2,0.03,3.1,1.88,9.32,6.71,8.46,24.27,8.12,29.25,10.56,8.93,39,3.39,57.53,19.2,7.58,8.73,9.41,23.23,4.27,18.37,2.97,0.4,6.17,1.26,27.7,5.2,2.51,7.24
OLFM1,3.63,4,0.92,0.96,0.64,1.46,0.33,1.06,1.15,0,1.96,0,0.47,0.1,2.83,0,0,3.04,35.67,1.53,0.34,0,3.97,0.47,1.4,9.77,0.28,2.23,1
OLFML2A,0.03,0,0,0,0,0,0,0,0,0,0.19,0,0,0.1,0,0,0,0,1.13,1.1,0,0.45,4.28,0,1.38,0,0,0,0
OR13C3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.4,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
OR1L8,0.03,0,0,0,0.27,3.45,0,6.05,0.27,0,0,0,1.94,0.1,0.82,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
OR1N1,26.99,12.29,6.67,54.42,33.09,21.33,21.71,14.16,6.4,13.51,9.36,2.85,61.94,9.76,0,1.08,0,0,0.03,0,0,0,0,0,0.03,0.27,2.37,0.14,0
OR2K2,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,12.61,0,0.03,11.67,0,0,0,0,0.03,0,0,0,0
ORM1,0.03,0,0,0,0,0,0,0,0,0,0,0,4.21,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
OSTF1,5.02,5.44,6.25,4.79,4.01,0.18,5.34,2.26,2.65,2.55,4.42,9.5,27.49,5.69,13.11,14.18,0.27,2.09,0.03,18.46,1.86,0,0.93,28.63,4.53,29.44,6.27,5.09,5.66
PAEP,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0.1,0,0,1.01,0,0.03,0,0,0,0,0,0.03,0,0,0,0
PALM2,1.5,1.14,1.12,0.56,0.71,1.56,0.62,3.19,0.98,1.88,3.08,0.64,3.28,0.1,1.2,0.07,0,0,0.03,0,0,0,0,0,0.03,0.03,0,0,0
PALM2-AKAP2,2.03,2.96,2.31,10.96,5.08,4.03,20.2,7.47,11.45,17.73,21.76,16.9,5.3,16.72,13.75,0.65,0.6,3,13.93,8.48,1.15,0.36,10.4,0.37,0.03,3.37,2.39,16.86,13.84
PAPPA,0.03,0.08,0.49,0.01,0.18,0.08,0,0,0.24,0,0,0.73,0,7.16,0,0,0.12,0,0.03,0,0,0,0,0.5,0.03,0,0.01,0,0
PAX5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0.48,0.73,0.24,0.61,0.03,0.01,0,0,0
PBX3,5.47,17.16,7.97,11.66,17.06,12.78,9.72,8.26,7.25,6.93,11.96,4.56,21.94,4.87,16.27,49.78,21.38,28.71,145.17,25.59,48.63,0.97,21.46,7.72,4.17,27.23,5.99,19.21,27.59
PCSK5,7.28,4.75,4.99,6.66,4.09,7.71,5.72,2.53,4.7,5.42,5.79,6.49,2.47,0.1,7.46,0.2,0.46,2.7,0.03,0.8,1.18,7.95,1.92,1.38,1.36,0.92,0.06,0.09,0
PDCL,29.82,54.36,39.99,38.44,23.09,29.38,16.55,38.88,49.46,46.49,34.44,7.96,5.09,57.22,57.95,90.14,126.92,119.98,54.28,230.47,153.67,121.2,155.82,93.22,55.2,62.06,32.5,27.3,24.11
PGM5,0.03,0.92,1.02,0.06,0.01,0.05,0.38,0.07,0.93,0.39,0,0.99,0,0.1,1.82,0,0,0,0.03,1.23,0,0,0,0,0.03,0.03,0,0,0
PHF19,0.03,0,0,0,0.03,0.32,0.06,0,0,0,0.3,0,0,0.1,0,0,0,0.85,0.03,0,0,0,0.87,0,0.03,0.05,0.01,0,0
PHF2,0.03,0.18,0,0.21,0.04,0.52,0.41,0.08,0.71,0.66,0.62,1.59,0.97,9.17,0.3,0,0.09,0,0.03,0,0,0,0,0,0.03,0.08,0.04,0.29,0.27
PHPT1,32.53,26.2,15.81,14.6,16.11,24.92,6.69,1.08,5.19,0.85,0.32,5.25,0,0.1,8.22,4.42,3.59,3.8,4.83,17.23,2.7,28.13,12.31,11.29,34.34,132.73,73.74,24.43,25.43
PHYHD1,0.03,7.89,5.61,2.14,3.72,3.95,2.21,2.98,4.72,0.82,5.75,3.21,0,0.1,3.37,0,0.51,0,0.03,0,0.73,0,0,7.07,31.56,4.29,0.57,1.95,0.04
PIGO,0.03,0,0,0.02,0,0.03,0.01,0,0,0.2,0,0,0,0.1,0,0,1.11,0,7.99,0,0,0,0,0,0.03,0.01,1.42,0.79,0.36
PIP5K1B,3.69,3.36,5.17,4.28,4.13,5.46,6.25,4.7,11.61,4.4,5.89,18.21,5.95,68.02,10.99,0.96,0.34,0.5,0.03,4.67,5.06,6.81,3.3,11.48,0.03,2.86,7.19,54.5,40.28
PIP5KL1,0.03,0,0,0,0,0.06,1.04,0,0,0,0,0,0,0.1,0,0.44,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
PKN3,0.03,0.1,0,0.11,0.35,0.49,0.09,0.05,0.05,0,0,0.23,0.28,0.1,0,1.47,0.63,5.74,1.47,0.88,6.56,2.56,0,22.5,13.21,0.11,0.22,0.05,0.57
PLAA,35.69,41.19,27.54,18.67,18.4,4.53,27.16,18.98,34.68,50.86,33.8,43.82,59.46,85.14,51.97,10.78,16.6,21.86,8.43,5.03,26.1,1.21,7.44,4.85,61.19,30.77,6.69,15.75,18.16
PLIN2,0.03,0,0,0,0.08,0,0,0,0,0.5,0,0,0,5.69,0.65,152.54,60.87,204.48,37.34,15.93,3.27,85.53,94.63,351.69,236.66,84.22,403.09,199.47,163.36
PMPCA,0.03,0.12,0,3.71,1.19,0.57,0.48,0.3,0.14,0,4.17,3.04,0,0.1,0,17.63,48.55,41.37,0.03,11.59,20.95,1.04,1.94,27.23,0.03,8.01,53.98,11.95,9.88
POLE3,18.29,28.26,31.17,20.1,9.36,3.47,7.7,4.1,1.78,5.75,1.92,1.1,0.81,12.41,5.13,241.97,281.64,826.33,30.72,375.02,247.5,250.16,108.08,365.26,309.16,304.29,70.19,63.41,39.64
POLR1E,0.03,8.13,0.85,28.15,21.71,20.96,11.74,5.39,2.51,7.44,18.93,27.79,5.46,3.92,8.62,46.14,26.9,68.73,121.79,41.86,116.4,9.54,36.09,16.06,61.73,35.14,20.95,6.31,9.91
POMT1,0.03,0.5,1.26,2.67,5.97,5.42,2.15,1.66,5.18,0,0.28,1.23,0.62,0.1,0.45,0.63,0.65,0.61,5.35,4.33,2.53,15.64,19.57,1.02,11.93,0.34,1.92,0.09,0.34
PPAPDC2,28.96,73.59,50.93,31.54,10.64,14.8,23.7,38.64,31.03,15.65,12.48,1.1,22.13,13.89,3.67,0.59,0.76,0,0.03,0.8,22.76,0.9,0,0,0.03,1.35,5.79,6,1.56
PPAPDC3,0.03,1.39,0,0.09,1.82,2.91,0.39,1.57,1.61,0,0.62,2.04,0,0.1,16.18,0,0.31,0,0.03,2.36,0.74,0.56,3.92,0,35.14,0,0,0,0
PPP2R4,0.03,6.09,1.61,0.77,1.16,2.25,0.69,1.18,1.42,0.55,0.9,6.1,0.81,0.1,0.29,0.89,3.42,0.68,5.95,5.22,1.86,6.65,2.63,8.43,6.72,0.04,5.2,0.85,0.78
PPP6C,147.14,101.95,143.03,96.02,103.26,108.25,121.97,122.3,140.45,90.63,84.59,111.56,185.18,205.34,128.3,39,38.81,16.23,76,39.54,70.58,75.32,59.06,16.38,24.63,22.76,39.6,29.83,29.75
PRDM12,0.03,0,0,0,0,0,0.01,0,0,0,0,0,1.78,0.1,1.62,0.12,0,0,0.03,0,0,0,0,0,0.03,0,0,0.09,0
PRPF4,3.98,8.78,0,17.21,17.97,11.51,26.05,7.43,22.42,9.66,19.52,30.59,18.45,10.52,1.87,26.13,20.63,16.91,5.19,55.39,31.01,14.4,25.43,14.69,2.37,44.99,22.16,50.44,40.4
PRRX2,0.03,0.15,0,0,0,0,0,1.19,0,0,0,0,0,0.1,0,2.18,0,0,0.03,0,0,0,0,0,0.03,0,1.61,0,0.06
PRSS3,5.46,3.43,6.16,0.08,0.3,2.6,0.36,2.26,0.36,0.96,2.8,0.18,1.19,0.1,0,0.57,0.18,0.85,0.03,5.49,6.77,1.81,8.88,4.75,0.03,0.37,1.1,0.08,0.14
PRUNE2,8,2.11,5.42,1.49,1.21,1.66,1.92,4.81,1.42,4.4,1.16,1.36,6.69,12.68,1.53,0.19,0.17,0.82,7.75,0.96,0.26,2.47,2.15,0.42,0.03,0.16,0.12,0.35,0.26
PSAT1,0.03,1.1,0,0,0,0,0,0,0,0.26,0,0,0,0.1,0,0.6,0.34,0,0.03,0,0,0,0,3.95,0.03,0.02,4.76,4.5,4.24
PSIP1,86.16,205.34,257.21,169.07,140.88,99.97,165.62,87.45,176.95,210.25,263.83,153.67,172.49,229.48,165.62,3.98,1.15,3.63,0.03,1.79,12.34,2.45,6.2,0,2.97,10.32,2.33,5.54,12.78
PSMB7,64.15,129.23,60.66,106.78,119.98,105.29,92.91,73.46,84.59,27.28,70.58,191.03,125.07,25.49,127.79,248.75,220.74,286.46,82.92,278.55,169.32,358.81,215.76,233.87,192.95,254.18,811.3,580.84,590.37
PSMD5,68.25,33.69,39.09,5.48,9.54,7.55,4.1,24.82,5.3,29.8,8.01,0.72,7.81,0.1,0.67,1.1,0.11,5.43,1.47,8.43,2.67,43.82,0,4.57,1.35,2.77,1.27,7.09,5
PTAR1,1.12,0,0,0,0.02,0,0.01,0.03,0.04,0,0,0.57,0,0.1,0.27,6.7,4.79,4.42,6.99,7.3,10.56,1.45,1.58,8.09,16.32,4.73,3.04,6.29,7.08
PTCH1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0.03,0,0,0,0,0,0.03,0.76,0.05,0.21,0.21
PTGES,0.03,0,0,0,0,0,0,0,0,0.38,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0.59,0,0.03,0,9.56,16.61,7.39
PTGES2,0.03,0,0,0,0.05,0.1,0.05,0.22,0.18,0,0,1.19,0.34,0.1,0,2.48,3.29,0.67,0.03,2.63,0,0,12.53,3.91,15.07,0,37.25,18.93,4.2
PTGR1,0.03,1.64,0,1.66,2.37,0.64,2.33,0.74,0.19,7.26,0,0.62,0,0.1,0,0,0,0,29.82,0,0,0.64,0,0,0.03,0.06,0.22,9.92,8.38
PTGS1,0.03,0,0,0.02,0.18,0.3,0.17,0.08,0.28,2.98,0,0,0,0.1,0.35,0,0,0,0.03,0,0,0,1.15,0,0.03,0,0,0.21,0.24
PTPDC1,0.03,2.48,0,0.78,0.81,0.26,0.34,0.06,0.04,0,0,0.38,1.24,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0.01,0,0.14
PTPLAD2,11.64,1.65,0.58,0.24,0.37,0.35,0.13,0,0.21,0,0.31,0,0,63.23,0,0.86,0,0,0.03,0.23,0,0,0,0,3.59,0.42,3.37,3.78,6.88
PTPN3,22.69,32.01,23.62,21.81,16.4,23.38,23.04,23.48,25.43,13.62,12.73,19.79,16.64,18.83,8.28,1.27,2.03,0.08,24.11,1.54,11.89,14.87,14.67,0,1.4,8.52,0.39,0.2,0.28
PTPRD,15.19,6.8,13.4,1.18,5.81,2.28,6.18,16.63,7.96,9.09,6.23,4.97,16.73,20.08,9.21,1.67,0.98,0.3,2.12,7.06,1.02,5.58,1.23,0.92,0.97,0.75,0,0,0
PTRH1,0.03,0,0,1.26,3.52,1,1.25,0,0.09,3.07,0,0.92,0,0.1,0,34.39,9.05,16.17,3.66,41.6,6.27,5.28,56.61,12.12,13.42,58.4,13.2,2.91,1.29
QRFP,0.03,0,0,0.22,0.4,2.22,0,0,5.18,0,0,16.56,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0.4,0,0
QSOX2,31.91,18.56,56.12,22.12,23.58,18.14,24.56,21.29,9.21,8.97,10.73,3.95,3.86,0.1,14.52,2.65,7.79,1.94,1.27,4.61,1.59,16.95,7.09,1.33,21.23,6.17,0.73,1.03,0.81
RAB14,13.59,9.88,7.61,4.51,0.91,0.92,3.74,7.06,1.6,6.19,1.43,0.23,5.51,0.1,2.7,27.69,31.17,20.32,0.03,0.53,1.29,6.58,0.64,32.58,3.55,5.23,6.4,26.22,27.87
RABEPK,11.58,0.92,0,3.5,5.09,8.66,3.91,0.81,7.55,1.94,10.33,9.66,22.38,0.1,9.64,0.38,9.52,4.05,4.36,1.05,4.77,8.79,0,2.95,4.62,2.59,11.16,10.66,9.28
RABGAP1,35.02,34.42,37.35,35.57,29.56,27.44,33.24,30.66,30.95,41.49,27.58,49.07,32.73,10.72,16.41,3.39,6.79,5.05,0.03,5.19,0.39,0,1.39,4.95,0.03,7.17,0.11,1.72,2.47
RAD23B,7.6,9.04,2.05,6.83,2.68,1.5,6.92,7.12,9.66,10.77,9.89,3.39,13.91,16.37,14.4,9.51,6.33,5.53,0.03,9.38,3.01,0.41,0.63,2.35,1.86,6.06,5.2,56.38,29.7
RALGDS,0.03,0.17,0.41,0.25,1.25,2.03,0.24,0.13,0.41,0,0,0.44,3.17,0.1,0.76,0.17,0.15,0.81,2.2,3.9,0.3,0,0,0,1.94,0.12,1.48,0,0
RALGPS1,13.47,2.54,8.19,1.06,2.85,9.4,2.03,3.52,0.68,1.23,1.48,0.67,0.68,0.1,1.76,0.22,0,0.24,0.03,0.16,0,0.83,0,2.04,0.03,0.01,0.18,0.03,0
RANBP6,0.03,0.11,0,0.65,0.25,0.8,1.28,1.19,0.67,4.58,2.53,1.35,0.74,13.17,0.54,0,0.86,0,7.81,0,0.81,4.37,0,0,0.03,0.72,2.49,3.73,2.26
RAPGEF1,0.03,0,0,0.13,0.51,0.23,0.23,0.18,1.02,0.38,0.91,0,0.43,0.1,0.25,0,0.46,0.48,0.03,0,0,0,0,0,0.03,0,0.09,0.04,0.06
RASEF,0.03,0,0,6.1,1.63,0.44,1.91,0.23,0.25,0,0.95,2.29,0.78,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0.18,0,0,0
RBM18,96.4,171.43,161.04,101.2,64.15,58.52,69.78,74.63,42.88,70.25,57.08,11.88,12.99,38.55,29.77,18.45,44.31,51.72,24.28,27.58,72.16,59.74,26.86,29.82,15.21,10.8,38.64,94.33,76.92
RC3H2,21,11.06,11.52,2.86,1.9,5.36,1.55,7.28,4.76,3.16,2.49,1.66,2.93,0.1,7.78,4.84,5.79,0.84,2.07,1.79,8.87,2.95,10.09,10.41,3.9,22.65,4.96,2.94,0.89
RCL1,2.48,0.28,6.87,10.03,5.68,3.87,11.28,4.62,6.97,8.17,1.15,3.33,0.97,3.67,4.24,67.77,20.69,44.2,18.18,27.31,39.44,20.36,141.13,52.45,51.03,87.09,68.25,24.01,32.79
RECK,2.05,0.67,3.57,0.09,0.07,0.03,0.04,0.86,0.46,0.61,0.25,0.29,0,0.1,1.53,0,0.53,0,0.03,0,2.19,0,0,0,0.03,0,0.07,2.68,1.07
REXO4,0.03,0.78,0,0.22,0.13,0.26,0.11,0.07,0.29,0.46,0,6.91,0,7.03,0.67,28.27,29.9,7.7,17.14,33.53,17.82,10.85,13.16,3.55,6.34,1.83,25.95,2.6,6
RFK,1.9,0.99,0,0.17,0,0,0,0,0,0.61,0.79,0.23,0.63,6.33,0.52,308.24,309.16,312.29,123.22,178.15,36.46,28.26,58.29,146.02,221.93,102.85,29.92,109.68,104.7
RFX3,4.76,1.23,0.95,1.97,0.29,1,0.14,1.97,6.7,0.95,2.28,0.8,4.83,7.12,2.12,0,1.7,1.47,0.03,0,0,0,0,0.59,0.03,2.51,0,0,0.06
RG9MTD3,0.03,2.52,0.76,0.87,0.65,1.52,0.01,0.28,2.7,1.28,0.24,0,0,12.72,0,0,0.14,0,0.03,0,0,0,0.63,0,0.03,0.28,0.01,2.5,1.28
RGP1,0.03,0,0.6,0.19,0.01,0.36,0.23,0,0.22,0.32,0,0,0,0.1,0.67,0,0.69,2.68,0.03,0,0,0,14.11,0.73,2.47,5.6,0.25,0,0.25
RLN1,61.61,105.29,41.78,14.77,7.4,4.88,7.49,13.41,4.77,58.2,7.34,0,2.67,0.1,12.53,0,0.47,0,0.03,0,0,0,0,0,0.03,0,0,0,0
RMI1,15.28,49.46,63.55,19.96,10.49,0.61,8.61,10.66,1.58,29.25,26.51,1.59,9.31,3.1,2.89,24.62,40.56,44.45,38,24.82,19.07,12.06,10.92,14.05,2.66,77,4.79,11.74,18.15
RNF183,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0.96
RNF20,4.07,2.06,0.68,14.58,8.44,6.15,45.26,10.22,39.26,13.8,22.69,62.47,33.26,43.17,74.44,14.92,16.63,9.51,2.81,59.5,19.22,16.91,26.36,9.76,3.74,27.91,10.57,24.45,15.11
RNF208,0.03,0,0,0.05,0.55,0.13,0.04,0,0.45,0,0.34,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0
RNF38,122.3,189.62,176.95,318.39,258.75,312.29,482.44,293.92,489.37,341.96,284.72,284.72,380.27,206.86,291.01,25.82,27.5,19.65,22.1,27.77,22.46,8.78,24.82,9.55,56.38,70.72,7.9,11.73,16.31
ROD1,1.25,0.75,0.38,0.79,1.02,0.26,1,0.73,0.95,0.57,0,0.26,0,0.1,4.18,5.02,1.37,2.37,31.71,3.23,11.95,40.31,13.18,3.62,1.01,7.28,3.42,9.82,14.33
ROR2,0.03,0,0,0,0,0,0,0.14,0,0,0,0,0.34,0.1,0.94,0.16,1.11,0,0.03,0,0,0,0,0,0.03,0.06,0,0,0
RORB,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.12,1.17,0.15,0.03,0,0,0,0.87,1.23,0.03,0.07,0,0,0
RPL12,603.32,673.67,622.68,1361.18,940.95,847.33,887.34,1200.62,847.33,996.31,1172.06,1148.73,1108.66,1172.06,1200.62,1616.3,1277.23,2059.84,1718.19,1236.17,1755,1469.28,1221.64,2105.77,2362.43,2159.8,5894.76,5337.67,2939.86
RPL35,395.22,297.8,442.44,954.01,1034,1079.65,618.54,921.57,771.07,1079.65,1518.31,1221.64,2362.43,1386.33,1518.31,1845.28,2721.26,2105.77,2447.84,3199.6,2721.26,3013.91,3013.91,2521.6,2010,3104.5,2299.3,1019.8,587.2
RPL7A,195.48,168.21,346.89,583.79,590.37,426.89,288.27,340.31,559.55,429.61,913.25,718.53,661.67,583.79,887.34,278.55,325.54,330.63,227.93,204.95,203.1,273.86,306.95,223.31,131.11,255.54,275.75,144.84,104.47
RPS6,3013.91,2521.6,2939.86,2829.25,2645.68,1718.19,1221.64,2299.3,2010,4349.24,5337.67,1683.05,2227.18,1961.02,2227.18,6142.54,6500.83,7646.6,3948.86,7169.84,5019.64,4137.32,3199.6,8330.35,5337.67,3948.86,9144.41,7169.84,7646.6
RRAGA,162.63,87.68,153.95,118.34,89.77,78.3,161.67,161.32,114.34,33.65,86.46,33.35,1.1,92.23,6.57,37.12,41.92,16.56,0.03,2.23,82.92,32.5,13.93,83.38,16.03,50.06,38.28,38.16,27.04
RUSC2,0.03,0,0,0.21,0.65,0.29,0.14,0.27,0.08,0.23,0,0.77,1.01,0.1,0.28,0,0.22,0,1.63,2.02,0.36,0,1.02,1.89,0.03,0.01,0.9,0.16,0.44
RXRA,0.03,0.16,0,0.12,0.2,0.31,0.29,0.18,0.19,0.8,0.56,0.16,0,0.1,1.58,0.65,0,0,0.03,0,0,0,0,0,0.03,0,0.74,0,0.05
S1PR3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.04,0,0.03,0,0.29,0,1.71,21.03,0.03,0,2.45,2.1,0.32
SARDH,7.26,1.03,0,1.46,2.56,1.91,3.62,0.91,2.59,5.18,4.63,6.23,10.66,0.1,11.11,3.54,0,0,0.03,0.15,4.13,0.43,1.56,0,0.03,1.67,0,0.19,0
SCAI,10.92,11.76,17.38,7.36,6.23,5.78,5.6,15.27,9.41,26.57,8.23,2.67,13.12,71.45,13.06,0.66,0,0.81,8.84,0.82,0,0,2.82,0,4.36,2.06,0.36,1.22,0.81
SDCCAG3,61.87,31.79,45.56,14.71,22.33,38.67,13.54,18.56,2.83,2.44,1.38,6.61,2.1,0.1,0,0.9,1.65,0,0.03,0.67,3.22,0,3.3,9.4,0.03,5.52,33.35,26.7,13.05
SEC16A,7.21,9.25,9.04,1.75,2.3,4.68,2.96,9.98,0.93,1.09,3.42,3.26,1.26,5.28,2.11,4.29,2.66,7.03,17.96,1.54,0.82,1.5,0.46,1.3,5.8,1.63,0.47,1.97,1.52
SEC61B,1254.94,826.33,1172.06,887.34,1093.61,1125.72,1361.18,1795.06,833.61,905.02,729.4,559.55,618.54,627.64,540.87,1108.66,759.37,877.54,1578.76,463.33,442.44,489.37,411.66,559.55,517.99,322.98,583.79,634.9,630.37
